508.60, -15.00
505.80, -14.00
505.20, -13.80
504.80, -13.40
504.80, -13.20
505.60, -12.60
508.40, -11.80
512.00, -11.40
517.80, -11.60
524.00, -12.40
528.60, -13.20
529.20, -13.20
531.00, -13.80
533.20, -14.40
534.20, -15.00
536.20, -16.00
536.60, -16.20
538.60, -17.00
541.00, -18.00
541.80, -18.20
543.40, -18.80
543.60, -18.80
545.20, -19.40
545.80, -19.60
547.60, -20.20
550.80, -20.60
557.20, -21.00
567.20, -21.20
576.60, -21.20
586.40, -21.20
593.20, -21.20
598.40, -21.20
600.60, -21.00
602.80, -20.60
605.00, -20.00
608.00, -19.20
614.80, -18.00
621.20, -17.20
628.40, -16.40
636.20, -15.60
642.00, -15.20
647.00, -14.80
651.40, -14.20
654.40, -13.80
657.00, -13.20
658.80, -12.60
659.40, -12.20
659.80, -11.80
660.20, -11.60
660.40, -11.40
660.60, -11.40
660.60, -11.20
660.80, -11.00
662.40, -10.40
663.40, -10.00
665.00, -9.60
670.20, -8.60
670.20, -8.40
670.20, -8.20
670.20, -7.80
670.00, -7.40
670.20, -7.00
670.40, -6.80
670.40, -6.40
670.60, -6.40
670.80, -6.40
671.00, -6.40
671.00, -6.60
671.60, -6.60
671.80, -6.60
671.60, -6.20
670.00, -5.00
667.80, -3.80
666.00, -3.00
664.60, -2.40
663.40, -1.80
662.40, -1.40
661.40, -0.80
660.80, -0.20
660.40, 0.20
659.80, 1.00
659.20, 2.60
660.20, 5.40
660.80, 6.00
663.40, 8.80
667.60, 11.80
670.20, 13.80
676.00, 17.40
677.60, 18.20
684.40, 21.20
689.40, 22.40
697.00, 24.00
699.60, 24.40
704.40, 25.20
705.00, 25.20
707.60, 25.20
709.20, 25.20
711.20, 25.20
711.60, 25.20
712.20, 25.20
714.00, 25.00
716.20, 24.60
717.40, 24.40
720.20, 24.00
721.40, 24.00
725.80, 23.80
728.00, 23.80
733.20, 23.80
740.00, 24.00
748.00, 24.80
760.20, 25.80
775.80, 27.40
790.00, 29.60
797.00, 30.40
801.00, 30.80
803.60, 30.80
805.80, 30.80
808.60, 30.60
813.80, 30.80
822.60, 31.60
836.40, 34.00
850.60, 36.80
864.20, 40.60
873.80, 43.20
876.20, 43.60
885.80, 44.80
896.80, 46.00
909.40, 46.80
948.60, 44.80
976.40, 41.20
982.20, 39.80
1023.40, 37.20
1058.80, 40.20
1113.60, 48.60
1190.20, 60.00
1246.60, 66.80
1289.60, 70.20
1326.00, 76.00
1359.20, 88.80
1384.40, 89.00
1388.40, 89.00
1387.00, 89.00
1382.20, 89.00
1375.20, 89.00
1362.00, 89.00
1338.00, 89.00
1303.80, 86.20
1258.80, 75.40
1217.80, 58.20
1180.80, 39.00
1144.60, 15.60
1107.20, -20.40
1082.00, -53.40
1066.40, -89.00
1068.20, -89.00
1111.80, -89.00
1192.80, -89.00
1296.20, -89.00
1401.00, -87.80
1495.00, -81.80
1533.80, -69.60
1548.40, -55.20
1559.60, -42.00
1564.00, -35.20
1565.00, -32.80
1565.00, -32.20
1562.60, -30.40
1549.00, -25.00
1542.60, -23.20
1507.80, -15.40
1477.60, -10.40
1458.00, -6.60
1450.20, -5.20
1448.80, -5.00
1448.40, -5.00
1449.00, -5.00
1460.20, -5.80
1483.60, -5.80
1507.40, -5.00
1519.20, -4.20
1520.60, -4.20
1523.20, -4.20
1524.20, -4.20
1525.80, -4.40
1528.00, -5.00
1529.80, -5.60
1532.00, -6.20
1536.00, -7.00
1541.60, -8.00
1549.80, -9.00
1556.80, -9.80
1563.00, -10.60
1567.60, -11.60
1568.60, -12.00
1568.80, -12.00
1569.00, -12.20
1569.20, -12.60
1569.40, -12.80
1569.80, -13.20
1570.20, -13.80
1570.60, -14.40
1570.80, -14.60
1574.40, -15.00
1579.20, -14.20
1580.60, -13.80
1585.40, -12.40
1587.80, -11.60
1589.20, -11.00
1590.40, -10.20
1591.40, -9.40
1592.20, -8.40
1592.40, -8.00
1592.80, -7.40
1593.20, -6.60
1593.60, -5.40
1593.80, -4.40
1594.00, -3.80
1594.00, -3.40
1594.00, -3.00
1593.00, -2.80
1590.00, -3.20
1578.80, -5.00
1571.40, -6.60
1556.80, -10.40
1542.60, -15.40
1532.00, -19.20
1523.80, -22.60
1515.60, -26.80
1510.80, -29.20
1504.40, -31.60
1497.80, -34.00
1492.60, -35.80
1488.40, -36.60
1481.60, -37.20
1476.00, -38.00
1473.40, -38.20
1472.00, -38.60
1471.60, -38.60
1470.60, -38.40
1470.20, -38.20
1469.80, -38.20
1469.60, -38.20
1469.60, -38.00
1469.40, -38.00
1469.20, -38.00
1469.20, -37.80
1469.40, -37.80
1469.40, -38.00
1469.60, -38.00
1468.40, -38.00
1465.60, -39.00
1462.60, -41.00
1459.40, -43.20
1457.60, -44.40
1456.00, -45.40
1454.80, -46.20
1453.20, -47.40
1451.00, -48.80
1449.20, -50.00
1447.20, -51.20
1443.20, -52.60
1435.60, -53.80
